Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-427.2862	-584.1778	156.8916	2.238841	0.3373897	0.892021
6	-428.8196	-585.1822	156.3627	2.395421	0.6131812	0.7547493
12	-431.4101	-587.9659	156.5557	2.295792	0.5141742	0.8322368
18	-426.7649	-584.2172	157.4523	2.038346	0.2203596	0.8033523
24	-435.4304	-592.3533	156.9229	1.951614	0.4755816	0.8818814
30	-442.0244	-598.8371	156.8127	2.192783	0.404252	0.8795602
36	-448.4636	-605.521	157.0573	2.169482	0.3773445	0.6220571
42	-445.6262	-602.3362	156.7101	2.115228	0.5617268	0.7675288
48	-429.5413	-586.6245	157.0832	2.106082	0.3325461	0.8345296
54	-438.0723	-594.8219	156.7496	2.04428	0.490137	0.9437072
60	-443.3696	-600.8771	157.5075	1.749671	0.2447401	0.9924436
66	-435.476	-592.4096	156.9336	1.799226	0.3763963	1.197443
72	-439.8037	-596.613	156.8093	2.425865	0.3823591	0.5627324
78	-441.6806	-597.9078	156.2272	2.288243	0.7941629	0.7654446
84	-444.01	-599.7191	155.709	2.39172	0.9536707	1.035556
90	-434.4568	-590.2594	155.8027	2.091697	0.9536707	1.221192
96	-434.7186	-591.2838	156.5651	1.934843	0.6329842	1.020739
102	-442.8138	-599.5338	156.72	2.04048	0.4181358	1.101363
108	-442.7942	-599.6485	156.8543	1.965441	0.4475727	0.9931546
114	-449.2056	-606.2948	157.0892	2.623734	0.1747137	0.6709222
120	-434.8042	-591.8649	157.0607	2.334573	0.2943086	0.6496851
126	-442.5641	-598.9939	156.4299	2.077623	0.6106839	1.044092
132	-433.3923	-590.3876	156.9953	1.430741	0.2566288	1.645247
138	-439.9524	-597.0469	157.0945	1.932831	0.283704	1.117473
144	-441.8145	-599.0173	157.2028	1.92798	0.2124963	1.191662
150	-440.5079	-596.4694	155.9615	2.389163	0.8930162	0.835432
156	-439.2688	-596.5163	157.2475	2.110986	0.2320208	0.9222134
162	-438.0548	-594.8689	156.8142	2.236037	0.4343484	0.7482937
168	-439.2649	-595.5158	156.2509	2.349009	0.7709787	0.6720183
174	-443.959	-599.9174	155.9584	2.4026	0.9662859	0.7107128
180	-435.2874	-591.9341	156.6466	2.30538	0.5048038	0.7107128
186	-439.1676	-596.6695	157.5018	2.082015	0.1819126	0.8309436
192	-434.3107	-591.7228	157.4121	1.720244	0.1484405	1.3581
198	-436.4731	-593.0625	156.5895	1.628933	0.3210531	1.68353
204	-432.9345	-589.8163	156.8818	1.904142	0.2139596	1.465308
210	-431.4023	-589.2914	157.8891	2.002148	0.1240561	0.6712142
216	-431.5982	-587.4688	155.8706	2.090757	1.080827	1.048765
222	-428.505	-585.8806	157.3756	1.710344	0.367521	0.8703355
228	-424.5451	-581.4338	156.8887	2.00436	0.3909458	1.025311
234	-429.0203	-586.5281	157.5078	2.057534	0.1670958	0.909035
240	-426.7369	-583.8341	157.0973	2.045722	0.3919457	0.7284735
246	-430.7374	-587.6471	156.9096	2.110695	0.46396	0.7120094
252	-430.3501	-587.0833	156.7333	1.869642	0.46396	1.168349
258	-427.8943	-584.7116	156.8174	1.796372	0.2357069	1.548813
264	-429.3511	-586.2628	156.9117	2.190006	0.3565577	0.8783259
270	-433.4139	-590.0507	156.6368	2.052282	0.6159533	0.8419712
276	-433.9304	-590.854	156.9236	1.786902	0.3545679	1.254078
282	-430.7591	-587.8548	157.0957	1.714007	0.3327479	1.209703
288	-434.5312	-592.6014	158.0702	1.898233	0.05647879	0.9621063
294	-446.146	-603.3795	157.2336	1.757303	0.2067814	1.321705
300	-440.2211	-597.1196	156.8985	1.757433	0.3412566	1.321705
306	-442.113	-599.473	157.36	1.601176	0.3373999	1.065466
312	-449.1194	-606.2302	157.1109	1.418384	0.3385998	1.425793
318	-438.7577	-596.0173	157.2596	1.593511	0.3305767	1.176488
324	-436.0742	-592.9006	156.8264	1.730302	0.2831583	1.500925
330	-433.7988	-589.2444	155.4456	1.568653	0.4837607	2.279974
336	-434.9504	-591.3635	156.413	1.961984	0.4352409	1.397347
342	-430.8352	-588.4872	157.652	1.998985	0.1147032	1.017915
348	-439.2696	-596.4156	157.146	1.506239	0.2767846	1.440297
354	-433.3585	-590.7189	157.3604	2.020342	0.2767846	0.7494362
360	-442.5573	-599.6134	157.0561	2.075412	0.4384944	0.5493422
366	-443.2695	-600.5727	157.3032	2.020803	0.3315043	0.618608
372	-441.3965	-598.862	157.4655	1.940692	0.2531078	0.7979068
378	-440.3245	-597.7168	157.3923	1.820263	0.2539517	1.012906
384	-429.2478	-586.6179	157.3701	1.904725	0.2704283	0.9039641
390	-431.751	-589.2258	157.4748	2.170332	0.2077077	0.5896924
396	-432.2969	-589.2367	156.9398	2.021973	0.4358573	0.8616708
402	-430.7791	-587.7406	156.9615	2.066599	0.4358573	0.7764525
408	-432.8746	-590.0032	157.1286	2.029976	0.381892	0.7351369
414	-439.8415	-596.1634	156.3219	1.680806	0.5974623	1.480748
420	-446.0092	-601.8197	155.8105	1.334412	0.5974623	2.079448
426	-443.3577	-600.4976	157.1398	1.712805	0.3172935	1.202286
432	-430.8003	-588.234	157.4337	1.794712	0.132889	1.326488
438	-441.4755	-598.7447	157.2692	1.584514	0.2279917	1.382634
444	-445.6854	-603.1594	157.474	1.820713	0.2510496	0.9362933
450	-442.216	-599.7307	157.5148	1.864975	0.2510496	0.838766
456	-431.367	-588.6505	157.2835	2.245833	0.2510496	0.5765565
462	-441.8927	-598.6135	156.7208	1.964481	0.4011278	1.196544
468	-447.6922	-604.6082	156.916	1.76926	0.4011278	1.196544
474	-434.656	-591.053	156.397	1.858022	0.572802	1.31257
480	-437.5968	-595.3047	157.7078	2.061546	0.1181948	0.8776496
486	-439.0228	-596.2946	157.2718	1.980406	0.2969222	0.8560183
492	-432.8557	-589.6963	156.8406	2.20663	0.4209488	0.7879189
498	-430.204	-587.7256	157.5217	2.202838	0.1834439	0.5679505
504	-440.0506	-597.5676	157.517	2.217269	0.1797459	0.5755304
510	-426.0403	-582.4013	156.361	2.465286	0.6266556	0.5755304
516	-424.0766	-581.6979	157.6213	2.176813	0.1602679	0.5755304
522	-427.0293	-584.9064	157.8771	2.017825	0.1204363	0.6907548
528	-426.7335	-583.7751	157.0417	2.215448	0.3618697	0.6249058
534	-429.8235	-586.7257	156.9022	2.277956	0.3633258	0.7592147
540	-429.5774	-586.413	156.8356	1.757812	0.3243067	1.400266
546	-424.808	-581.5111	156.7031	2.083386	0.4773338	0.974065
552	-438.1114	-594.9789	156.8675	2.035974	0.4773338	0.8438681
558	-434.1584	-591.9917	157.8333	1.933973	0.1590359	0.6661234
564	-443.4356	-598.4459	155.0103	2.143944	0.5639503	2.106065
570	-442.6316	-600.6781	158.0466	2.058605	0.08431657	0.5055893
576	-443.5316	-600.8375	157.3059	1.976659	0.3198202	0.7455287
582	-440.0286	-597.2617	157.2331	2.118111	0.3198202	0.6149565
588	-443.9088	-601.3068	157.398	2.017979	0.2507663	0.7929302
594	-447.2141	-604.06	156.8459	1.774948	0.5349646	1.044563
600	-425.4529	-582.4621	157.0092	1.899535	0.3742361	1.042231
606	-445.7944	-600.7936	154.9991	1.553695	0.8218208	2.275209
612	-443.3474	-600.0585	156.7111	1.841145	0.4197177	1.278633
618	-423.646	-579.5858	155.9398	1.689936	0.4271733	1.9419
624	-440.5377	-597.7262	157.1885	2.117125	0.3176947	0.7166417
630	-450.2462	-606.2662	156.02	2.19412	1.01894	0.8430247
636	-436.4328	-592.3889	155.9561	2.113823	1.01894	1.001034
642	-438.7555	-594.9116	156.1561	2.135549	0.7715308	1.04795
648	-442.0541	-599.368	157.3139	1.782832	0.2884075	1.042278
654	-438.2423	-595.1387	156.8963	1.784421	0.3504537	1.285703
660	-439.6259	-597.0913	157.4654	2.167904	0.2063859	0.6328227
666	-439.4222	-596.7262	157.304	2.052472	0.2308694	0.92789
672	-444.9134	-601.0216	156.1082	1.552573	0.3197099	2.066252
678	-441.3462	-597.4805	156.1344	1.432302	0.2401975	2.253868
684	-435.7714	-592.2913	156.5199	1.826349	0.2125257	1.786273
690	-440.5634	-598.2465	157.6831	1.636764	0.2217601	0.9924491
696	-444.3495	-601.2673	156.9178	1.772458	0.4543284	1.105447
702	-446.287	-601.8006	155.5136	2.361049	1.22652	1.005748
